symbol,Name,Sector,Industry,MarketCap,SicCode,SicDescription,SubIndustry
CMP,"Compass Minerals International, Inc.",Materials,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),769572608.22,1400.0,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),Other
CMPO,"CompoSecure, Inc.",Financials,FINANCE SERVICES,2461225363.08,6199.0,FINANCE SERVICES,Other
CMPS,COMPASS Pathways Plc American Depository Shares,Health Care,PHARMACEUTICAL PREPARATIONS,502169140.12000006,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CMPX,"Compass Therapeutics, Inc. Common Stock",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",958676729.78,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
CMRC,"Commerce.com, Inc. Series 1 Common Stock",Information Technology,SERVICES-PREPACKAGED SOFTWARE,373811391.6,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
CMRE,Costamare Inc.,Industrials,,1838926306.38,,,Other
CMS,CMS Energy Corporation,Utilities,ELECTRIC & OTHER SERVICES COMBINED,22906148711.55,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,Utilities,ELECTRIC & OTHER SERVICES COMBINED,,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,Utilities,ELECTRIC & OTHER SERVICES COMBINED,,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,Utilities,ELECTRIC & OTHER SERVICES COMBINED,,4931.0,ELECTRIC & OTHER SERVICES COMBINED,Other
CMT,"Core Molding Technologies, Inc.",Materials,"PLASTICS PRODUCTS, NEC",161467117.57999998,3089.0,"PLASTICS PRODUCTS, NEC",Other
CMTG,"Claros Mortgage Trust, Inc.",Real Estate,REAL ESTATE,471135047.04,6500.0,REAL ESTATE,Other
CMTL,Comtech Telecommunications,Information Technology,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,89776603.25999999,3663.0,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,Other
CNA,CNA Financial Corporation,Financials,"FIRE, MARINE & CASUALTY INSURANCE",12702382787.12,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",Other
CNC,Centene Corporation,Health Care,HOSPITAL & MEDICAL SERVICE PLANS,19395300280.0,6324.0,HOSPITAL & MEDICAL SERVICE PLANS,Health Care Providers & Services
CNCK,Coincheck Group N.V. Ordinary Shares,Industrials,,427839381.9,,,Other
CNDT,Conduent Incorporated Common Stock,Industrials,"SERVICES-BUSINESS SERVICES, NEC",293547822.72,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
CNET,ZW Data Action Technologies Inc. Common Stock,Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",5066126.95,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software
CNEY,CN Energy Group Inc. Class A Ordinary Shares,Industrials,,7817020.84,,,Other
CNF,"CNFinance Holdings Limited American Depositary Shares, each representing two hundred (200) Ordinary Shares",Industrials,,37720188.0,,,Other
CNH,CNH INDUSTRIAL N.V.,Industrials,CONSTRUCTION MACHINERY & EQUIP,11716203879.2,3531.0,CONSTRUCTION MACHINERY & EQUIP,Other
CNI,Canadian National Railway,Industrials,,57863155000.0,,,Other
CNK,"Cinemark Holdings, Inc.",Communication Services,SERVICES-MOTION PICTURE THEATERS,3230587305.0,7830.0,SERVICES-MOTION PICTURE THEATERS,Other
CNL,Collective Mining Ltd.,Industrials,,1021370771.43,,,Other
CNM,"Core & Main, Inc.",Industrials,"WHOLESALE-DURABLE GOODS, NEC",9151151720.79,5099.0,"WHOLESALE-DURABLE GOODS, NEC",Other
CNMD,CONMED Corporation,Health Care,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,1355157667.04,3845.0,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,Other
CNNE,"Cannae Holdings, Inc. Common Stock",Consumer Discretionary,RETAIL-EATING & DRINKING PLACES,830799121.41,5810.0,RETAIL-EATING & DRINKING PLACES,Other
CNO,"CNO Financial Group, Inc.",Health Care,ACCIDENT & HEALTH INSURANCE,3926657624.16,6321.0,ACCIDENT & HEALTH INSURANCE,Other
CNOB,Center Bancorp Inc,Financials,STATE COMMERCIAL BANKS,1281461038.61,6022.0,STATE COMMERCIAL BANKS,Banks
CNOBP,"ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",Financials,STATE COMMERCIAL BANKS,,6022.0,STATE COMMERCIAL BANKS,Banks
CNP,"CenterPoint Energy, Inc.",Utilities,ELECTRIC SERVICES,26082087506.35,4911.0,ELECTRIC SERVICES,Other
CNQ,Canadian Natural Resources Limited,Industrials,,69409125240.0,,,Other
CNS,Cohen & Steers Inc.,Financials,INVESTMENT ADVICE,3252750889.57,6282.0,INVESTMENT ADVICE,Asset Management & Custody
CNSP,"CNS Pharmaceuticals, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,4180754.6,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,Health Care,PHARMACEUTICAL PREPARATIONS,4283821542.42,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CNTB,Connect Biopharma Holdings Limited Ordinary Shares,Health Care,PHARMACEUTICAL PREPARATIONS,158206941.79,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CNTX,Context Therapeutics Inc. Common Stock,Health Care,PHARMACEUTICAL PREPARATIONS,103823470.01,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CNTY,Century Casinos Inc,Consumer Discretionary,HOTELS & MOTELS,42400880.64,7011.0,HOTELS & MOTELS,Other
CNVS,Cineverse Corp. Class A Common Stock,Industrials,SERVICES-VIDEO TAPE RENTAL,48067511.53,7841.0,SERVICES-VIDEO TAPE RENTAL,Other
CNX,CNX Resources Corporation,Energy,CRUDE PETROLEUM & NATURAL GAS,5164090801.4,1311.0,CRUDE PETROLEUM & NATURAL GAS,Other
CNXC,Concentrix Corporation Common Stock,Industrials,"SERVICES-BUSINESS SERVICES, NEC",2210761658.89,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
CNXN,PC Connection Inc,Consumer Discretionary,RETAIL-CATALOG & MAIL-ORDER HOUSES,1472049011.44,5961.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,Internet & Direct Marketing Retail
COCH,"Envoy Medical, Inc. Class A Common Stock",Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",22991786.3357,3842.0,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",Other
COCO,"The Vita Coco Company, Inc. Common Stock",Consumer Staples,BEVERAGES,3065524728.14,2080.0,BEVERAGES,Other
COCP,"Cocrystal Pharma, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,13921905.65,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CODA,"Coda Octopus Group, Inc. Common stock",Industrials,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",98652563.59,3812.0,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS",Other
CODI,Compass Diversified,Consumer Discretionary,HOUSEHOLD FURNITURE,519880525.06,2510.0,HOUSEHOLD FURNITURE,Other
CODX,"Co-Diagnostics, Inc. Common Stock",Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,22731200.8606,3841.0,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,Other
COE,"51Talk Online Education Group American Depositary Shares, each representing sixty (60) Class A Ordinary Shares",Industrials,,242347886.0,,,Other
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Financials,FINANCE SERVICES,100394086.8,6199.0,FINANCE SERVICES,Other
COF,Capital One Financial,Financials,NATIONAL COMMERCIAL BANKS,138252987079.35,6021.0,NATIONAL COMMERCIAL BANKS,Banks
COFS,CHOICEONE FINANCIAL,Financials,STATE COMMERCIAL BANKS,459726199.2000001,6022.0,STATE COMMERCIAL BANKS,Banks
COGT,"Cogent Biosciences, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,6200089649.18,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
COHN,Cohen & Company Inc,Industrials,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",30314000.07,6211.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",Other
COIN,"Coinbase Global, Inc. Class A Common Stock",Financials,FINANCE SERVICES,71447521395.58,6199.0,FINANCE SERVICES,Other
COKE,"Coca-Cola Consolidated, Inc. Common Stock",Utilities,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,10918696806.16,2086.0,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,Other
COLA,Columbus Acquisition Corp Ordinary Shares,Industrials,BLANK CHECKS,82064515.7,6770.0,BLANK CHECKS,Banks
COLB,Columbia Banking Systems Inc,Financials,STATE COMMERCIAL BANKS,8483070879.36,6022.0,STATE COMMERCIAL BANKS,Banks
COLD,"Americold Realty Trust, Inc.",Financials,REAL ESTATE INVESTMENT TRUSTS,3073579828.41,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
COLL,"Collegium Pharmaceutical, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,1461375420.48,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
COLM,Columbia Sportswear Co,Consumer Discretionary,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,2911077945.84,2300.0,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,Other
COMM,"CommScope Holding Company, Inc.",Information Technology,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,4326846247.71,3663.0,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,Other
COMP,"Compass, Inc.",Information Technology,SERVICES-COMPUTER PROGRAMMING SERVICES,5846260329.84,7371.0,SERVICES-COMPUTER PROGRAMMING SERVICES,Software
CON,"Concentra Group Holdings Parent, Inc.",Health Care,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",2669785307.66,8093.0,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",Health Care Providers & Services
COO,"The Cooper Companies, Inc. Common Stock",Industrials,OPHTHALMIC GOODS,15495167302.74,3851.0,OPHTHALMIC GOODS,Other
COOK,"Traeger, Inc.",Industrials,HOUSEHOLD APPLIANCES,112361579.94,3630.0,HOUSEHOLD APPLIANCES,Other
COOT,Australian Oilseeds Holdings Limited Ordinary Shares,Energy,FATS & OILS,23166945.9552,2070.0,FATS & OILS,Other
COP,ConocoPhillips,Energy,PETROLEUM REFINING,107618702392.5,2911.0,PETROLEUM REFINING,Other
COPL,Copley Acquisition Corp,Industrials,BLANK CHECKS,242741460.39,6770.0,BLANK CHECKS,Banks
CORT,Corcept Therapeutics Inc.,Health Care,PHARMACEUTICAL PREPARATIONS,8394019716.599999,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CORZ,"Core Scientific, Inc. Common Stock",Financials,FINANCE SERVICES,5016791834.0,6199.0,FINANCE SERVICES,Other
CORZZ,"Core Scientific, Inc. Tranche 2 Warrants",Financials,FINANCE SERVICES,,6199.0,FINANCE SERVICES,Other
COSM,Cosmos Holdings Inc. Common Stock,Industrials,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",22118277.328,5122.0,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",Pharmaceuticals
COSO,"CoastalSouth Bancshares, Inc.",Financials,STATE COMMERCIAL BANKS,264853943.31,6022.0,STATE COMMERCIAL BANKS,Banks
COST,Costco Wholesale Corp,Consumer Discretionary,RETAIL-VARIETY STORES,402521918393.76,5331.0,RETAIL-VARIETY STORES,Other
COTY,COTY INC,Energy,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",2886238330.8,2844.0,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",Other
COYA,"Coya Therapeutics, Inc. Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,133498029.28,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CP,Canadian Pacific Kansas City Limited,Industrials,"RAILROADS, LINE-HAUL OPERATING",64940924668.32,4011.0,"RAILROADS, LINE-HAUL OPERATING",Other
CPA,"Copa Holdings, S.A.",Industrials,,4929576845.38,,,Other
CPAC,CEMENTOS PACASMAYO S.A.A.,Industrials,,566813462.78,,,Other
CPAY,"Corpay, Inc.",Industrials,"SERVICES-BUSINESS SERVICES, NEC",20521496147.04,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
CPB,The Campbell's Company Common Stock,Consumer Staples,FOOD AND KINDRED PRODUCTS,9002540322.72,2000.0,FOOD AND KINDRED PRODUCTS,Other
CPBI,"Central Plains Bancshares, Inc. Common Stock",Financials,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",67489680.78,6035.0,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",Other
CPF,Central Pacific Financial Corporation,Financials,STATE COMMERCIAL BANKS,811713598.1600001,6022.0,STATE COMMERCIAL BANKS,Banks
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,Industrials,"SERVICES-RACING, INCLUDING TRACK OPERATION",77763898.0,7948.0,"SERVICES-RACING, INCLUDING TRACK OPERATION",Other
CPHI,"China Pharma Holdings, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,8185863.26,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CPIX,Cumberland Pharmaceuticals Inc,Health Care,PHARMACEUTICAL PREPARATIONS,33054145.67,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CPK,Chesapeake Utilities,Energy,NATURAL GAS TRANSMISSION & DISTRIBUTION,3272781651.92,4923.0,NATURAL GAS TRANSMISSION & DISTRIBUTION,Other
CPNG,"Coupang, Inc.",Consumer Discretionary,RETAIL-CATALOG & MAIL-ORDER HOUSES,50945199834.82,5961.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,Internet & Direct Marketing Retail
CPOP,"Pop Culture Group Co., Ltd Class A Ordinary Shares",Industrials,,37183936.8058,,,Other
CPRI,Capri Holdings Limited,Industrials,LEATHER & LEATHER PRODUCTS,3052450782.36,3100.0,LEATHER & LEATHER PRODUCTS,Other
CPRT,Copart Inc,Consumer Discretionary,RETAIL-AUTO DEALERS & GASOLINE STATIONS,37510685255.0,5500.0,RETAIL-AUTO DEALERS & GASOLINE STATIONS,Other
CPRX,Catalyst Pharmaceutical  Inc.,Health Care,PHARMACEUTICAL PREPARATIONS,2879837227.41,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CPS,Cooper-Standard Automotive Inc.,Consumer Discretionary,MOTOR VEHICLE PARTS & ACCESSORIES,545336318.28,3714.0,MOTOR VEHICLE PARTS & ACCESSORIES,Other
CPSH,CPS Technologies Corp. Common Stock,Industrials,POTTERY & RELATED PRODUCTS,60410370.72,3260.0,POTTERY & RELATED PRODUCTS,Other
CPSS,Consumer Portfolio Services,Financials,FINANCE SERVICES,183079326.57,6199.0,FINANCE SERVICES,Other
CPT,Camden Property Trust,Financials,REAL ESTATE INVESTMENT TRUSTS,11281096839.9,6798.0,REAL ESTATE INVESTMENT TRUSTS,Asset Management & Custody
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,Industrials,,293501300.3,,,Other
CQP,"Cheniere Energy Partners, LP",Energy,NATURAL GAS DISTRIBUTION,25964582697.72,4924.0,NATURAL GAS DISTRIBUTION,Other
CRAI,"CRA International, Inc.",Industrials,SERVICES-LEGAL SERVICES,1163882788.3200002,8111.0,SERVICES-LEGAL SERVICES,Other
CRAQ,Cal Redwood Acquisition Corp. Class A Ordinary Shares,Industrials,BLANK CHECKS,316078331.0,6770.0,BLANK CHECKS,Banks
CRBD,"Corebridge Financial, Inc. 6.375% Junior Subordinated Notes due 2064",Financials,LIFE INSURANCE,,6311.0,LIFE INSURANCE,Other
CRBG,"Corebridge Financial, Inc.",Financials,LIFE INSURANCE,15146542841.43,6311.0,LIFE INSURANCE,Other
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,208530079.56,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CRC,California Resources Corporation,Energy,CRUDE PETROLEUM & NATURAL GAS,3926089563.9,1311.0,CRUDE PETROLEUM & NATURAL GAS,Other
CRCL,"Circle Internet Group, Inc.",Financials,FINANCE SERVICES,17104946930.24,6199.0,FINANCE SERVICES,Other
CRCT,"Cricut, Inc. Class A Common Stock",Industrials,"SPECIAL INDUSTRY MACHINERY, NEC",1005789291.5,3559.0,"SPECIAL INDUSTRY MACHINERY, NEC",Other
CRD,,Industrials,,,,,Other
CRDF,"Cardiff Oncology, Inc. Common Stock",Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",157623719.76,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,Industrials,,102997577.44,,,Other
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Information Technology,SEMICONDUCTORS & RELATED DEVICES,28373007535.95,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors
CRE,Cre8 Enterprise Limited Class A Ordinary Shares,Industrials,,9693608.4175,,,Other
CREG,Smart Powerr Corp. Common Stock,Industrials,"SERVICES-BUSINESS SERVICES, NEC",26448395.333,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
CRESY,Cresud SA,Industrials,,769980790.0,,,Other
CREV,Carbon Revolution Public Limited Ordinary Shares,Industrials,,3431510.7,,,Other
CREX,"CREATIVE REALITIES, INC.",Information Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,30189334.84,7373.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,Other
CRF,"Cornerstone Total Return Fund, Inc",Industrials,,1223699011.8,,,Other
CRGO,Freightos Limited Ordinary shares,Industrials,,168217581.44,,,Other
CRGY,Crescent Energy Company,Energy,CRUDE PETROLEUM & NATURAL GAS,2355342216.75,1311.0,CRUDE PETROLEUM & NATURAL GAS,Other
CRH,CRH Public Limited Company,Industrials,"CEMENT, HYDRAULIC",80097141111.12,3241.0,"CEMENT, HYDRAULIC",Other
CRI,Carter's Inc.,Consumer Discretionary,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,1176537179.04,2300.0,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,Other
CRIS,Curis Inc,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",16161066.25,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
CRK,"Comstock Resources, Inc.",Energy,CRUDE PETROLEUM & NATURAL GAS,7458244812.7,1311.0,CRUDE PETROLEUM & NATURAL GAS,Other
CRL,"Charles River Laboratories International, Inc.",Health Care,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,8806616380.74,8731.0,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,Biotechnology
CRM,"Salesforce, Inc.",Information Technology,SERVICES-PREPACKAGED SOFTWARE,217198800000.0,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
CRMD,CorMedix Inc.,Health Care,PHARMACEUTICAL PREPARATIONS,760314284.25,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CRML,Critical Metals Corp. Ordinary Shares,Industrials,,879251823.18,,,Other
CRMT,America's Car Mart Inc,Consumer Discretionary,RETAIL-AUTO DEALERS & GASOLINE STATIONS,180712975.02,5500.0,RETAIL-AUTO DEALERS & GASOLINE STATIONS,Other
CRNC,Cerence Inc. Common Stock,Information Technology,SERVICES-PREPACKAGED SOFTWARE,469160623.08,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
CRNT,Ceragon Networks Ltd,Industrials,,182476637.07,,,Other
CRNX,"Crinetics Pharmaceuticals, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,4367871395.2,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CRON,Cronos Group Inc. Common Share,Materials,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,949575302.16,2833.0,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,Other
CROX,"Crocs, Inc.",Materials,RUBBER & PLASTICS FOOTWEAR,4436712047.219999,3021.0,RUBBER & PLASTICS FOOTWEAR,Other
CRS,Carpenter Technology Corp,Materials,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",15890709653.340002,3312.0,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",Other
CRSP,CRISPR Therapeutics AG,Health Care,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",5079502418.9,2836.0,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Biotechnology
CRT,Cross Timbers Royalty Trust,Energy,OIL ROYALTY TRADERS,53100000.0,6792.0,OIL ROYALTY TRADERS,Other
CRTO,Criteo S.A.,Communication Services,SERVICES-ADVERTISING AGENCIES,1034692921.02,7311.0,SERVICES-ADVERTISING AGENCIES,Other
CRUS,Cirrus Logic Inc,Information Technology,SEMICONDUCTORS & RELATED DEVICES,6111909690.53,3674.0,SEMICONDUCTORS & RELATED DEVICES,Semiconductors
CRVL,Corvel Corp,Financials,"INSURANCE AGENTS, BROKERS & SERVICE",3755888892.210001,6411.0,"INSURANCE AGENTS, BROKERS & SERVICE",Other
CRVO,CervoMed Inc. Common Stock,Health Care,PHARMACEUTICAL PREPARATIONS,91972026.86,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CRVS,"Corvus Pharmaceuticals, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,677364579.04,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",Information Technology,SERVICES-PREPACKAGED SOFTWARE,125864040915.6,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
CRWV,"CoreWeave, Inc. Class A Common Stock",Information Technology,SERVICES-PREPACKAGED SOFTWARE,37020007966.48,7372.0,SERVICES-PREPACKAGED SOFTWARE,Software
CSAI,"Cloudastructure, Inc. Class A Common Stock",Information Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",22125978.56,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Software
CSAN,Cosan S.A. American Depositary Shares (each representing four Common Shares),Industrials,,7171364430.929999,,,Other
CSCO,"Cisco Systems, Inc. Common Stock (DE)",Information Technology,COMPUTER COMMUNICATIONS EQUIPMENT,300559763407.41,3576.0,COMPUTER COMMUNICATIONS EQUIPMENT,Other
CSGP,CoStar Group Inc,Industrials,"SERVICES-BUSINESS SERVICES, NEC",28743661685.62,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
CSGS,CSG Systems International,Information Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,2238833894.5,7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,Other
CSIQ,Canadian Solar Inc. Common Shares (ON),Industrials,,1814278144.14,,,Other
CSL,"Carlisle Companies, Inc.",Materials,"FABRICATED RUBBER PRODUCTS, NEC",13207647445.92,3060.0,"FABRICATED RUBBER PRODUCTS, NEC",Other
CSPI,CSP Inc.,Information Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,112912194.15,7373.0,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,Other
CSQ,Calamos Strategic Total Return Fund,Industrials,,3003723263.55,,,Other
CSTE,Caesarstone Ltd.,Industrials,,47016932.64,,,Other
CSTL,"Castle Biosciences, Inc. Common Stock",Health Care,SERVICES-MEDICAL LABORATORIES,1165795040.46,8071.0,SERVICES-MEDICAL LABORATORIES,Other
CSTM,Constellium SE Class A Ordinary shares,Energy,SECONDARY SMELTING & REFINING OF NONFERROUS METALS,2288887549.19,3341.0,SECONDARY SMELTING & REFINING OF NONFERROUS METALS,Other
CSV,"Carriage Services, Inc.",Industrials,SERVICES-PERSONAL SERVICES,676098587.42,7200.0,SERVICES-PERSONAL SERVICES,Other
CSWC,Capital Southwest Corp,Industrials,,1239563146.86,,,Other
CSX,CSX Corporation,Industrials,"RAILROADS, LINE-HAUL OPERATING",65733434546.8,4011.0,"RAILROADS, LINE-HAUL OPERATING",Other
CTA,Simplify Managed Futures Strategy ETF,Materials,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",,2820.0,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",Other
CTAS,Cintas Corp,Industrials,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",74184588758.8,2320.0,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",Other
CTBB,Qwest Corporation 6.5% Notes due 2056,Communication Services,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),,4813.0,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),Other
CTBI,Community Trust Bancorp Inc,Financials,STATE COMMERCIAL BANKS,1011588896.48,6022.0,STATE COMMERCIAL BANKS,Banks
CTDD,Qwest Corporation 6.75% Notes due 2057,Communication Services,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),,4813.0,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),Other
CTEV,Claritev Corporation,Industrials,"SERVICES-BUSINESS SERVICES, NEC",906762086.28,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Other
CTGO,"Contango ORE, Inc.",Materials,GOLD AND SILVER ORES,345220587.36,1040.0,GOLD AND SILVER ORES,Other
CTKB,"Cytek Biosciences, Inc. Common Stock",Industrials,LABORATORY ANALYTICAL INSTRUMENTS,716043048.0,3826.0,LABORATORY ANALYTICAL INSTRUMENTS,Other
CTLP,"Cantaloupe, Inc. Common Stock",Information Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),787823378.01,3578.0,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),Other
CTM,"Castellum, Inc.",Industrials,SERVICES-MANAGEMENT CONSULTING SERVICES,97451132.5,8742.0,SERVICES-MANAGEMENT CONSULTING SERVICES,Other
CTMX,"CytomX Therapeutics, Inc.",Health Care,PHARMACEUTICAL PREPARATIONS,715017366.9,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CTNM,"Contineum Therapeutics, Inc. Class A Common Stock",Health Care,PHARMACEUTICAL PREPARATIONS,314003818.36,2834.0,PHARMACEUTICAL PREPARATIONS,Pharmaceuticals
CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,Consumer Discretionary,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES,4649913.54,5010.0,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES,Other
